id,date,kms,alti,lat_deg,lat_min,long_deg,long_min,poids,taille,id_couleur,couleur,id_matiere,matiere,id_origine,origine,id_pays,pays,post,objet,gps,lieu,contexte,depart,arrivee,annee,mois,jour,kms_cumule,kms_depart_vol_oiseau,kms_depart_corde,kms_etape_segments,kms_etape_cumule,lat_dec,long_dec,lat_rad,long_rad,lat_x,long_y
1,41182,40,1,47,59.66,-4,-6.155,5.86,62,4,Jaune,0,Mixte,2,Artificiel,1,France,1,0,"N 47°59,660"" W 4°06,155""","Rue Sainte Catherine, Quimper",0,Quimper,St-Goazec,2012,9,30,40,0,0,0,0,47.99433333333333,-4.1025833333333335,0.8376584314259259,-0.07160352652314815,0,0
2,41183,60,1,48,14.518,-3,-35.98,0.15,74,12,Rouge,3,Plastique,2,Artificiel,1,France,1,0,"N 48°14,518"" W 3°35,980""",Port-Carhaix,0,St-Goazec,Rostrenen,2012,10,1,100,46.40231576371516,46.402213258288505,46.40231576371516,46.40231576371516,48.24196666666667,-3.599666666666667,0.8419804447796296,-0.06282598224074074,0,0
3,41184,40,1,48,10.365,-3,-0.004,0.22,17,15,Noir,1,Végétale,1,Naturel,1,France,1,0,"N 48°10,365' W 3°00,004'","Porte de Guerlédan",0,Rostrenen,Mur-de-Bretagne,2012,10,2,140,84.29025200793397,84.28963759650266,45.10726045403634,91.5095762177515,48.17275,-3.0000666666666667,0.8407723870694445,-0.05236099688518518,0,0
4,41185,80,1,48,6.37,-2,-54.972,1.71,0,14,Gris,2,Métallique,2,Artificiel,1,France,1,0,"N 48°06,370' W 2°54,972'","Pontivy, Escalier d'écluses",0,Mur-de-Bretagne,Guillac,2012,10,3,220,89.08224661937771,89.08152134789242,9.674461311407708,101.18403752915921,48.10616666666667,-2.9162,0.8396102896574074,-0.05089724865555555,0,0
5,41186,80,1,47,31.889,-1,-57.664,0.13,103,9,"Bleu Violet",3,Plastique,2,Artificiel,1,France,1,0,"N 47°31,889' W 1°57,664'","Canal de Nantes à Brest",0,Guillac,Guenrouet,2012,10,4,300,168.17939895209653,168.17451869403496,95.7819072708861,196.9659448000453,47.531483333333334,-1.9610666666666667,0.8295801818064815,-0.03422704127407407,0,0
6,41187,80,1,47,28.48,-1,-50.376,2.18,23,0,Mixte,0,Mixte,2,Artificiel,1,France,1,0,"N 47°28,480' W 1°50,376'","Ecluse Bougard",0,Guenrouet,Nantes,2012,10,5,380,178.8747309566041,178.86885916161643,11.101177695572687,208.06712249561798,47.474666666666664,-1.8396,0.8285885447407406,-0.0321070498,0,0
7,41188,0,1,47,21.257,-1,-15.539,0.54,42,17,Brun,1,Végétale,2,Artificiel,1,France,1,0,"N 47°21,257"" W 1°15,539""","Blanchelande, Oudon",0,Nantes,Nantes,2012,10,6,380,224.5349124930126,224.52329872689972,45.70571160966554,253.77283410528352,47.354283333333335,-1.2589833333333333,0.8264874609842593,-0.02197338583425926,0,0
8,41189,0,1,47,21.257,-1,-15.539,0.2,60,17,Brun,7,Animale,1,Naturel,1,France,1,0,"N 47°21,257"" W 1°15,539""","Blanchelande, Oudon",0,Nantes,Nantes,2012,10,7,380,224.5349124930126,224.52329872689972,0,253.77283410528352,47.354283333333335,-1.2589833333333333,0.8264874609842593,-0.02197338583425926,0,0
9,41190,0,1,47,13.764,-1,-35.059,0.49,12,13,Blanc,3,Plastique,2,Artificiel,1,France,1,0,"N 47°13,764' W 1°35,059'","Ping Base, Nantes",0,Nantes,Nantes,2012,10,8,380,207.09664511561886,207.08753252966426,28.20138751441466,281.9742216196982,47.2294,-1.5843166666666666,0.8243078374777778,-0.027651518871296292,0,0
10,41191,55,1,47,4.208,-2,-6.21,7.92,46,17,Brun,2,Métallique,2,Artificiel,1,France,1,0,"N 47°04,208' W 2°06,210'",Pornic,0,Nantes,Pornic,2012,10,9,435,181.9371332907826,181.93095472325174,43.08300935008234,325.05723096978056,47.07013333333333,-2.1035,0.8215281121037036,-0.03671296980555556,0,0
