id	id_pays
141	3
213	5
538	8
94	3
82	3
516	8
151	3
116	3
39	1
64	2
70	2
12	1
122	3
527	8
593	9
4	1
25	1
86	3
66	2
902	18
96	3
89	3
183	4
396	6
30	1
88	3
769	15
75	3
836	17
328	6
706	13
973	23
635	10
579	9
816	16
98	3
927	19
474	7
628	10
275	6
377	6
879	17
380	6
858	17
382	6
550	8
978	23
768	15
237	6
259	6
578	9
750	15
751	15
852	17
529	8
267	6
370	6
244	6
690	13
437	7
794	15
236	6
780	15
884	17
360	6
413	7
548	8
165	3
271	6
544	8
966	22
112	3
531	8
552	8
373	6
266	6
245	6
968	22
709	13
321	6
339	6
760	15
964	22
639	10
132	3
951	21
956	21
218	5
429	7
443	7
138	3
811	16
254	6
642	11
256	6
576	9
819	16
845	17
363	6
481	7
799	15
425	7
716	14
753	15
893	17
333	6
366	6
227	5
63	2
439	7
581	9
912	18
875	17
874	17
343	6
585	9
518	8
84	3
526	8
987	23
280	6
416	7
335	6
998	23
9	1
387	6
965	22
156	3
60	2
555	9
876	17
944	20
823	16
442	7
561	9
120	3
673	12
304	6
361	6
415	7
685	12
807	16
557	9
294	6
612	10
58	2
179	4
479	7
934	20
85	3
53	2
885	17
346	6
228	5
369	6
835	17
42	2
431	7
345	6
732	15
659	11
684	12
853	17
418	7
915	18
124	3
330	6
502	8
767	15
771	15
255	6
899	18
704	13
536	8
357	6
566	9
620	10
738	15
901	18
296	6
894	17
793	15
900	18
983	23
886	17
430	7
818	16
870	17
857	17
953	21
78	3
264	6
268	6
498	8
608	9
400	6
441	7
702	13
223	5
961	22
226	5
804	16
943	20
24	1
190	4
230	5
317	6
351	6
371	6
897	18
258	6
931	19
291	6
126	3
436	7
419	7
329	6
621	10
999	23
959	22
957	21
936	20
3	1
749	15
838	17
152	3
76	3
592	9
229	5
446	7
929	19
954	21
976	23
958	21
279	6
878	17
534	8
210	5
394	6
448	7
140	3
18	1
342	6
391	6
248	6
866	17
814	16
851	17
863	17
272	6
701	13
797	15
865	17
919	19
114	3
922	19
994	23
941	20
605	9
908	18
212	5
724	14
142	3
157	3
374	6
559	9
603	9
990	23
847	17
187	4
344	6
967	22
247	6
867	17
23	1
54	2
204	5
108	3
528	8
32	1
289	6
100	3
700	13
678	12
748	15
409	7
828	16
506	8
231	5
298	6
601	9
699	13
806	16
925	19
398	6
434	7
920	19
837	17
861	17
882	17
859	17
295	6
314	6
36	1
778	15
907	18
898	18
985	23
785	15
125	3
312	6
532	8
239	6
981	23
805	16
208	5
810	16
674	12
43	2
117	3
284	6
545	8
283	6
480	7
200	4
693	13
784	15
467	7
992	23
497	8
297	6
307	6
587	9
826	16
407	6
930	19
781	15
149	3
629	10
697	13
731	15
829	17
402	6
993	23
963	22
634	10
250	6
946	20
6	1
813	16
326	6
670	12
860	17
292	6
508	8
599	9
627	10
887	17
888	17
633	10
649	11
850	17
656	11
833	17
632	10
509	8
788	15
556	9
52	2
184	4
747	15
774	15
926	19
948	21
796	15
626	10
522	8
594	9
273	6
511	8
712	13
940	20
962	22
591	9
166	3
101	3
115	3
186	4
694	13
31	1
995	23
379	6
46	2
820	16
698	13
613	10
719	14
68	2
683	12
890	17
243	6
135	3
969	22
503	8
600	9
928	19
947	21
975	23
169	3
454	7
896	17
56	2
582	9
971	23
610	9
707	13
848	17
41	1
679	12
261	6
127	3
403	6
74	2
130	3
568	9
952	21
763	15
921	19
740	15
350	6
355	6
669	12
843	17
22	1
945	20
933	20
997	23
412	7
453	7
309	6
914	18
242	6
614	10
469	7
974	23
282	6
955	21
69	2
777	15
821	16
104	3
906	18
625	10
81	3
688	13
303	6
310	6
175	4
825	16
458	7
513	8
792	15
471	7
331	6
364	6
830	17
909	18
652	11
862	17
65	2
790	15
319	6
145	3
143	3
217	5
743	15
150	3
873	17
924	19
641	11
597	9
286	6
533	8
575	9
577	9
849	17
494	8
83	3
547	8
658	11
972	23
565	9
305	6
733	15
677	12
164	3
386	6
988	23
854	17
872	17
233	5
711	13
631	10
44	2
427	7
470	7
834	17
473	7
219	5
220	5
45	2
336	6
895	17
19	1
477	7
235	0
392	6
911	18
653	11
322	6
325	6
432	7
146	3
332	6
348	6
681	12
193	4
795	15
221	5
257	6
584	9
657	11
195	4
680	12
417	7
232	5
643	11
499	8
832	17
338	6
367	6
334	6
87	3
515	8
15	1
134	3
191	4
730	15
923	19
718	14
167	3
661	11
123	3
586	9
773	15
676	12
596	9
530	8
352	6
465	7
238	6
354	6
301	6
92	3
905	18
33	1
277	6
889	17
318	6
306	6
278	6
815	16
178	4
671	12
831	17
501	8
105	3
880	17
102	3
381	6
736	15
216	5
607	9
650	11
270	6
726	14
393	6
560	9
197	4
535	8
40	1
109	3
133	3
877	17
404	6
754	15
452	7
842	17
590	9
991	23
486	8
630	10
121	3
119	3
970	23
510	8
302	6
139	3
287	6
265	6
675	12
809	16
891	17
97	3
7	1
546	8
573	9
580	9
17	1
263	6
260	6
72	2
801	15
224	5
800	15
692	13
758	15
225	5
323	6
729	15
201	5
667	12
51	2
136	3
293	6
616	10
61	2
844	17
395	6
723	14
463	7
55	2
308	6
269	6
475	7
457	7
77	3
158	3
734	15
637	10
472	7
689	13
663	11
910	18
786	15
440	7
496	8
519	8
397	6
570	9
695	13
485	0
423	7
619	10
10	1
249	6
802	16
401	6
720	14
687	13
505	8
745	15
159	3
537	8
569	9
562	9
623	10
739	15
414	7
252	6
316	6
817	16
129	3
137	3
288	6
759	15
73	2
567	9
864	17
824	16
34	1
172	3
347	6
618	10
514	8
808	16
942	20
868	17
253	6
986	23
563	9
390	6
672	12
770	15
71	2
696	13
574	9
383	6
913	18
686	12
564	9
517	8
604	9
181	4
148	3
362	6
662	11
356	6
856	17
655	11
389	6
222	5
764	15
188	4
424	7
755	15
90	3
917	18
95	3
937	20
168	3
996	23
79	3
37	1
160	3
762	15
840	17
520	8
340	6
111	3
466	7
638	10
38	1
103	3
903	18
950	21
241	6
262	6
118	3
455	7
182	4
214	5
35	1
447	7
299	6
180	4
651	11
147	3
215	5
327	6
855	17
622	10
99	3
205	5
916	18
682	12
871	17
185	4
421	7
744	15
554	9
722	14
812	16
558	9
787	15
110	3
8	1
80	3
822	16
492	8
375	6
727	14
982	23
512	8
757	15
67	2
691	13
598	9
938	20
47	2
803	16
980	23
106	3
507	8
144	3
493	8
660	11
155	3
949	21
196	4
648	11
488	8
827	16
107	3
194	4
1	1
251	6
737	15
451	7
714	14
490	8
523	8
583	9
444	7
207	5
384	6
756	15
589	9
728	14
176	4
487	8
705	13
313	6
274	6
300	6
174	4
62	2
189	4
918	19
977	23
433	7
281	6
715	14
285	6
48	2
324	6
438	7
646	11
640	11
93	3
209	5
979	23
464	7
20	1
525	8
881	17
595	9
549	8
428	7
320	6
131	3
399	6
504	8
960	22
1000	23
478	7
410	7
2	1
932	20
240	6
311	6
647	11
341	6
113	3
789	15
359	6
984	23
290	6
935	20
411	7
551	8
765	15
276	6
624	10
846	17
779	15
211	5
16	1
315	6
541	8
636	10
713	14
192	4
766	15
28	1
539	8
708	13
57	2
459	7
203	5
572	9
588	9
617	10
461	7
376	6
456	7
449	7
11	1
476	7
198	4
798	15
892	17
495	8
989	23
27	1
553	0
171	3
405	6
49	2
388	6
5	1
13	1
14	1
26	1
29	1
540	8
521	8
543	8
460	7
128	3
615	10
173	4
21	1
368	6
435	7
246	6
841	17
372	6
91	3
782	15
524	8
170	3
420	7
791	15
606	9
161	3
177	4
752	15
358	6
721	14
644	11
542	8
746	15
468	7
665	11
349	6
775	15
337	6
664	11
426	7
904	18
602	9
500	8
50	2
353	6
703	13
162	3
666	11
725	14
489	8
206	5
761	15
482	7
883	17
571	9
153	3
483	7
154	3
742	15
59	2
717	14
484	7
741	15
939	20
406	6
645	11
611	9
869	17
234	5
735	15
654	11
163	3
422	7
776	15
378	6
365	6
710	13
462	7
772	15
450	7
609	9
199	4
408	7
491	8
202	5
783	15
445	7
668	12
385	6
839	17
1004
